id,name,category,brand,price_inr,color,material
1,Modern Sofa,Sofa,UrbanCouch,32000,Grey,Fabric
2,Coffee Table,Table,TableCraft,8500,Walnut,Wood
3,Faux Floor Lamp,Lamp,Lightify,4500,Brass,Metal
4,Queen Bed,Bed,CozyHome,25000,Beige,Wood
5,Rug 5x8,Rug,SoftTouch,6000,Blue,Polyester
6,Bookshelf,Shelf,UrbanCouch,11500,White,Wood
7,Accent Chair,Chair,ChairMakers,12000,Green,Velvet
8,TV Console,Console,Woodleaf,15000,Brown,Wood
9,Work Desk,Desk,TableCraft,9000,Black,Metal
10,Dining Set,Table,UrbanChairs,38000,White,Wood
